[2025-07-07 23:15:41,974 INFO server]: Logging to /u/parthpatel7173/MMA_RadioWave/AI_Parser/examples/output/AI_Parser_Server_2025-07-07-23:15:41.txt
[2025-07-07 23:15:42,773 INFO server]: Published AI Parser started event.
[2025-07-07 23:15:42,773 INFO server]: [AI Parser] Started AI Parser...
[2025-07-07 23:15:42,773 INFO server]: [Simulation Mode] Reading and loading GCNs from a folder...
[2025-07-07 23:15:44,354 INFO server]: Found 229 .txt files in /u/parthpatel7173/MMA_RadioWave/AI_Parser/examples/simulation/GW170817_GCN
[2025-07-07 23:15:44,391 INFO server]: Published NewRadioGCN detected event.
[2025-07-07 23:15:44,422 INFO server]: Published NewRadioGCN detected event.
[2025-07-07 23:15:44,453 INFO server]: Published NewRadioGCN detected event.
[2025-07-07 23:15:44,480 INFO server]: Published NewRadioGCN detected event.
[2025-07-07 23:15:44,512 INFO server]: Published NewRadioGCN detected event.
[2025-07-07 23:15:44,544 INFO server]: Published NewRadioGCN detected event.
[2025-07-07 23:15:44,571 INFO server]: Published NewRadioGCN detected event.
[2025-07-07 23:15:44,601 INFO server]: Published NewRadioGCN detected event.
[2025-07-07 23:15:44,629 INFO server]: Published NewRadioGCN detected event.
[2025-07-07 23:15:44,657 INFO server]: Published NewRadioGCN detected event.
[2025-07-07 23:15:44,684 INFO server]: Published NewRadioGCN detected event.
[2025-07-07 23:15:44,712 INFO server]: Published NewRadioGCN detected event.
[2025-07-07 23:15:44,739 INFO server]: Published NewRadioGCN detected event.
[2025-07-07 23:15:44,766 INFO server]: Published NewRadioGCN detected event.
[2025-07-07 23:15:44,797 INFO server]: Published NewRadioGCN detected event.
[2025-07-07 23:15:44,824 INFO server]: Published NewRadioGCN detected event.
[2025-07-07 23:15:44,852 INFO server]: Published NewRadioGCN detected event.
[2025-07-07 23:15:44,879 INFO server]: Published NewRadioGCN detected event.
[2025-07-07 23:15:44,905 INFO server]: Published NewRadioGCN detected event.
[2025-07-07 23:15:44,933 INFO server]: Published NewRadioGCN detected event.
[2025-07-07 23:15:44,961 INFO server]: Published NewRadioGCN detected event.
[2025-07-07 23:15:44,988 INFO server]: Published NewRadioGCN detected event.
[2025-07-07 23:15:45,015 INFO server]: Published NewRadioGCN detected event.
[2025-07-07 23:15:45,042 INFO server]: Published NewRadioGCN detected event.
[2025-07-07 23:15:45,069 INFO server]: Published NewRadioGCN detected event.
[2025-07-07 23:15:45,096 INFO server]: Published NewRadioGCN detected event.
[2025-07-07 23:15:45,124 INFO server]: Published NewRadioGCN detected event.
[2025-07-07 23:15:45,152 INFO server]: Published NewRadioGCN detected event.
[2025-07-07 23:15:45,179 INFO server]: Published NewRadioGCN detected event.
[2025-07-07 23:15:45,205 INFO server]: Published NewRadioGCN detected event.
[2025-07-07 23:15:45,232 INFO server]: Published NewRadioGCN detected event.
[2025-07-07 23:15:45,259 INFO server]: Published NewRadioGCN detected event.
[2025-07-07 23:15:45,286 INFO server]: Published NewRadioGCN detected event.
[2025-07-07 23:15:45,313 INFO server]: Published NewRadioGCN detected event.
[2025-07-07 23:15:45,340 INFO server]: Published NewRadioGCN detected event.
[2025-07-07 23:15:45,373 INFO server]: Published NewRadioGCN detected event.
[2025-07-07 23:15:45,400 INFO server]: Published NewRadioGCN detected event.
[2025-07-07 23:15:45,428 INFO server]: Published NewRadioGCN detected event.
[2025-07-07 23:15:45,428 INFO server]: Copied 38 files containing 'Jy' to /u/parthpatel7173/MMA_RadioWave/AI_Parser/examples/resulttest_radiofiles
[2025-07-07 23:15:45,428 INFO server]: radio filenames: ['GCN_21545.txt', 'GCN_21559.txt', 'GCN_21571.txt', 'GCN_21574.txt', 'GCN_21589.txt', 'GCN_21613.txt', 'GCN_21614.txt', 'GCN_21628.txt', 'GCN_21636.txt', 'GCN_21645.txt', 'GCN_21650.txt', 'GCN_21664.txt', 'GCN_21670.txt', 'GCN_21671.txt', 'GCN_21708.txt', 'GCN_21740.txt', 'GCN_21750.txt', 'GCN_21760.txt', 'GCN_21763.txt', 'GCN_21768.txt', 'GCN_21803.txt', 'GCN_21804.txt', 'GCN_21848.txt', 'GCN_21850.txt', 'GCN_21882.txt', 'GCN_21891.txt', 'GCN_21900.txt', 'GCN_21914.txt', 'GCN_21920.txt', 'GCN_21927.txt', 'GCN_21929.txt', 'GCN_21933.txt', 'GCN_21939.txt', 'GCN_21940.txt', 'GCN_21975.txt', 'GCN_29053.txt', 'GCN_29263.txt', 'GCN_32094.txt']
[2025-07-07 23:15:45,429 INFO server]: ====Starting to process /u/parthpatel7173/MMA_RadioWave/AI_Parser/examples/resulttest_radiofiles/GCN_21545.txt====
[2025-07-07 23:16:01,738 INFO server]: ====Finished processing /u/parthpatel7173/MMA_RadioWave/AI_Parser/examples/resulttest_radiofiles/GCN_21545.txt====
[2025-07-07 23:16:01,739 INFO server]: ====Starting to process /u/parthpatel7173/MMA_RadioWave/AI_Parser/examples/resulttest_radiofiles/GCN_21559.txt====
[2025-07-07 23:16:04,506 INFO server]: ====Finished processing /u/parthpatel7173/MMA_RadioWave/AI_Parser/examples/resulttest_radiofiles/GCN_21559.txt====
[2025-07-07 23:16:04,506 INFO server]: ====Starting to process /u/parthpatel7173/MMA_RadioWave/AI_Parser/examples/resulttest_radiofiles/GCN_21571.txt====
[2025-07-07 23:16:09,156 INFO server]: ====Finished processing /u/parthpatel7173/MMA_RadioWave/AI_Parser/examples/resulttest_radiofiles/GCN_21571.txt====
[2025-07-07 23:16:09,157 INFO server]: ====Starting to process /u/parthpatel7173/MMA_RadioWave/AI_Parser/examples/resulttest_radiofiles/GCN_21574.txt====
[2025-07-07 23:16:12,786 INFO server]: ====Finished processing /u/parthpatel7173/MMA_RadioWave/AI_Parser/examples/resulttest_radiofiles/GCN_21574.txt====
[2025-07-07 23:16:12,787 INFO server]: ====Starting to process /u/parthpatel7173/MMA_RadioWave/AI_Parser/examples/resulttest_radiofiles/GCN_21589.txt====
[2025-07-07 23:16:18,213 INFO server]: ====Finished processing /u/parthpatel7173/MMA_RadioWave/AI_Parser/examples/resulttest_radiofiles/GCN_21589.txt====
[2025-07-07 23:16:18,214 INFO server]: ====Starting to process /u/parthpatel7173/MMA_RadioWave/AI_Parser/examples/resulttest_radiofiles/GCN_21613.txt====
[2025-07-07 23:16:25,028 INFO server]: ====Finished processing /u/parthpatel7173/MMA_RadioWave/AI_Parser/examples/resulttest_radiofiles/GCN_21613.txt====
[2025-07-07 23:16:25,029 INFO server]: ====Starting to process /u/parthpatel7173/MMA_RadioWave/AI_Parser/examples/resulttest_radiofiles/GCN_21614.txt====
[2025-07-07 23:16:30,766 INFO server]: ====Finished processing /u/parthpatel7173/MMA_RadioWave/AI_Parser/examples/resulttest_radiofiles/GCN_21614.txt====
[2025-07-07 23:16:30,767 INFO server]: ====Starting to process /u/parthpatel7173/MMA_RadioWave/AI_Parser/examples/resulttest_radiofiles/GCN_21628.txt====
[2025-07-07 23:16:33,621 INFO server]: ====Finished processing /u/parthpatel7173/MMA_RadioWave/AI_Parser/examples/resulttest_radiofiles/GCN_21628.txt====
[2025-07-07 23:16:33,621 INFO server]: ====Starting to process /u/parthpatel7173/MMA_RadioWave/AI_Parser/examples/resulttest_radiofiles/GCN_21636.txt====
[2025-07-07 23:16:38,262 INFO server]: ====Finished processing /u/parthpatel7173/MMA_RadioWave/AI_Parser/examples/resulttest_radiofiles/GCN_21636.txt====
[2025-07-07 23:16:38,263 INFO server]: ====Starting to process /u/parthpatel7173/MMA_RadioWave/AI_Parser/examples/resulttest_radiofiles/GCN_21645.txt====
[2025-07-07 23:16:40,835 INFO server]: ====Finished processing /u/parthpatel7173/MMA_RadioWave/AI_Parser/examples/resulttest_radiofiles/GCN_21645.txt====
[2025-07-07 23:16:40,836 INFO server]: ====Starting to process /u/parthpatel7173/MMA_RadioWave/AI_Parser/examples/resulttest_radiofiles/GCN_21650.txt====
[2025-07-07 23:16:45,437 INFO server]: ====Finished processing /u/parthpatel7173/MMA_RadioWave/AI_Parser/examples/resulttest_radiofiles/GCN_21650.txt====
[2025-07-07 23:16:45,437 INFO server]: ====Starting to process /u/parthpatel7173/MMA_RadioWave/AI_Parser/examples/resulttest_radiofiles/GCN_21664.txt====
[2025-07-07 23:16:49,250 INFO server]: ====Finished processing /u/parthpatel7173/MMA_RadioWave/AI_Parser/examples/resulttest_radiofiles/GCN_21664.txt====
[2025-07-07 23:16:49,250 INFO server]: ====Starting to process /u/parthpatel7173/MMA_RadioWave/AI_Parser/examples/resulttest_radiofiles/GCN_21670.txt====
[2025-07-07 23:17:00,630 INFO server]: ====Finished processing /u/parthpatel7173/MMA_RadioWave/AI_Parser/examples/resulttest_radiofiles/GCN_21670.txt====
[2025-07-07 23:17:00,631 INFO server]: ====Starting to process /u/parthpatel7173/MMA_RadioWave/AI_Parser/examples/resulttest_radiofiles/GCN_21671.txt====
[2025-07-07 23:17:03,296 INFO server]: ====Finished processing /u/parthpatel7173/MMA_RadioWave/AI_Parser/examples/resulttest_radiofiles/GCN_21671.txt====
[2025-07-07 23:17:03,297 INFO server]: ====Starting to process /u/parthpatel7173/MMA_RadioWave/AI_Parser/examples/resulttest_radiofiles/GCN_21708.txt====
[2025-07-07 23:17:07,778 INFO server]: Error generating response: 'ServerAgentFileLogger' object is not callable
[2025-07-07 23:17:07,778 INFO server]: ====Starting to process /u/parthpatel7173/MMA_RadioWave/AI_Parser/examples/resulttest_radiofiles/GCN_21740.txt====
