days,microJy,GHz,upperlimit,Instrument,time_flag,RA_Dec_flag,name_flag,RA,Dec,user
0.57,>144.0,9.7,3,VLA,0,0,0,09:48.1,-23:22:53.343,Alexander
1.44,>13.8,10,3,VLA,0,0,0,09:48.1,-23:22:53.343,Alexander
2.41,>75.0,97.5,3,ALMA,0,0,0,09:48.1,-23:22:53.343,Alexander
2.42,>17.7,15,3,VLA,0,0,0,09:48.1,-23:22:53.343,Alexander
2.44,>17.1,10,3,VLA,0,0,0,09:48.1,-23:22:53.343,Alexander
2.46,>21.9,6,3,VLA,0,0,0,09:48.1,-23:22:53.343,Alexander
5.48,>28.5,10,3,VLA,0,0,0,09:48.1,-23:22:53.343,Alexander
8.29,>17.4,10,3,VLA,0,0,0,09:48.1,-23:22:53.343,Alexander
9.43,>72.0,97.5,3,ALMA,0,0,0,09:48.1,-23:22:53.343,Alexander
13.4,>18.3,10,3,VLA,0,0,0,09:48.1,-23:22:53.343,Alexander
15.3,>39.0,97.5,3,ALMA,0,0,0,09:48.1,-23:22:53.343,Alexander
19.4,>13.5,10,3,VLA,0,0,0,09:48.1,-23:22:53.343,Alexander
19.4,1.900e+01+-6.000e+00,6,0,VLA,0,0,0,09:48.1,-23:22:53.343,Alexander
30.3,>42.0,97.5,3,ALMA,0,0,0,09:48.1,-23:22:53.343,Alexander
39.2,2.280e+01+-2.600e+00,6,0,VLA,0,0,0,09:48.1,-23:22:53.343,Alexander
112,6.290e+01+-3.200e+00,6,0,VLA,0,0,0,09:48.1,-23:22:53.343,Margutti
115,9.620e+01+-8.000e+00,3,0,VLA,0,0,0,09:48.1,-23:22:53.343,Margutti
115,5.120e+01+-3.400e+00,10,0,VLA,0,0,0,09:48.1,-23:22:53.343,Margutti
115,4.120e+01+-1.900e+00,15,0,VLA,0,0,0,09:48.1,-23:22:53.343,Margutti
163,9.730e+01+-1.130e+01,3,0,VLA,0,0,0,09:48.1,-23:22:53.343,Margutti
163,6.730e+01+-4.100e+00,6,0,VLA,0,0,0,09:48.1,-23:22:53.343,Margutti
163,4.740e+01+-3.600e+00,10,0,VLA,0,0,0,09:48.1,-23:22:53.343,Margutti
163,3.960e+01+-2.000e+00,15,0,VLA,0,0,0,09:48.1,-23:22:53.343,Margutti
217,6.050e+01+-7.500e+00,3,0,VLA,0,0,0,09:48.1,-23:22:53.343,Alexander
217,4.170e+01+-7.500e+00,6,0,VLA,0,0,0,09:48.1,-23:22:53.343,Alexander
217,3.260e+01+-4.000e+00,10,0,VLA,0,0,0,09:48.1,-23:22:53.343,Alexander
217,2.470e+01+-3.100e+00,15,0,VLA,0,0,0,09:48.1,-23:22:53.343,Alexander
257,4.320e+01+-5.800e+00,3,0,VLA,0,0,0,09:48.1,-23:22:53.343,Alexander
273,3.480e+01+-4.900e+00,3,0,VLA,0,0,0,09:48.1,-23:22:53.343,Alexander
273,2.720e+01+-2.100e+00,6,0,VLA,0,0,0,09:48.1,-23:22:53.343,Alexander
289,3.630e+01+-3.900e+00,3,0,VLA,0,0,0,09:48.1,-23:22:53.343,Alexander
289,2.700e+01+-2.800e+00,6,0,VLA,0,0,0,09:48.1,-23:22:53.343,Alexander
545,5.900e+00+-1.900e+00,6,0,VLA,0,0,0,09:48.1,-23:22:53.343,Hajela
734,>8.4,6,3,VLA,0,0,0,09:48.1,-23:22:53.343,Hajela
