days,microJy,GHz,upperlimit,Instrument,time_flag,RA_Dec_flag,name_flag,RA,Dec,user
19.5,>14.0,10.0,3,VLA,0,0,0,09:48.1,-23:22:53.343,Makhatini
359.0,1.550e+01+-5.000e+00,7.25,0,ATCA,0,0,0,09:48.1,-23:22:53.343,Troja
13.5,>20400.0,0.34,3,VLITE/VLA,0,0,0,09:48.1,-23:22:53.343,Hallinan
2.46,>21.9,6.0,3,VLA,0,0,0,09:48.1,-23:22:53.343,Alexander
324.0,4.720e+01+-1.280e+01,1.3,0,MeerKAT,0,0,0,09:48.1,-23:22:53.343,Makhatini
31.3,3.400e+01+-3.600e+00,3.0,0,VLA,0,0,0,09:48.1,-23:22:53.343,Mooley
8.37,>37500.0,0.34,3,VLITE/VLA,0,0,0,09:48.1,-23:22:53.343,Hallinan
0.68,>120.0,8.5,3,ATCA,0,0,0,09:48.1,-23:22:53.343,Hallinan
23.0,>108.0,1.39,3,uGMRT,0,0,0,09:48.1,-23:22:53.343,Kim
7.9,>69.0,1.39,3,uGMRT,0,0,0,09:48.1,-23:22:53.343,Kim
734.0,>8.4,6.0,3,VLA,0,0,0,09:48.1,-23:22:53.343,Hajela
46.3,4.400e+01+-4.000e+00,3.0,0,VLA,0,0,0,09:48.1,-23:22:53.343,Mooley
8.29,>17.4,10.0,3,VLA,0,0,0,09:48.1,-23:22:53.343,Alexander
2.78,>780.0,0.4,3,uGMRT,0,0,0,09:48.1,-23:22:53.343,Hallinan
22.4,>6300.0,0.34,3,VLITE/VLA,0,0,0,09:48.1,-23:22:53.343,Hallinan
515.0,>13.0,7.25,3,ATCA,0,0,0,09:48.1,-23:22:53.343,Makhatini
67.2,4.260e+01+-4.100e+00,6.0,0,VLA,0,0,0,09:48.1,-23:22:53.343,Mooley
17.5,>15.0,6.2,3,VLA,0,0,0,09:48.1,-23:22:53.343,Makhatini
229.0,4.800e+01+-6.000e+00,4.5,0,VLA,0,0,0,09:48.1,-23:22:53.343,Mooley
267.0,2.500e+01+-4.100e+00,7.25,0,ATCA,0,0,0,09:48.1,-23:22:53.343,Mooley
187.0,>83.0,5.1,3,eMERLIN,0,0,0,09:48.1,-23:22:53.343,Makhatini
9.43,>72.0,97.5,3,ALMA,0,0,0,09:48.1,-23:22:53.343,Alexander
30.3,>42.0,97.5,3,ALMA,0,0,0,09:48.1,-23:22:53.343,Alexander
65.9,1.480e+02+-2.200e+01,0.67,0,uGMRT,0,0,0,09:48.1,-23:22:53.343,Mooley
93.1,9.800e+01+-1.400e+01,1.5,0,VLA,0,0,0,09:48.1,-23:22:53.343,Mooley
2.42,>17.7,15.0,3,VLA,0,0,0,09:48.1,-23:22:53.343,Alexander
