days,microJy,GHz,upperlimit,Instrument,time_flag,RA_Dec_flag,name_flag,RA,Dec,user
0.68,>120.0,8.5,3,ATCA,0,0,0,09:48.1,-23:22:53.343,Hallinan
0.68,>150.0,10.5,3,ATCA,0,0,0,09:48.1,-23:22:53.343,Hallinan
0.93,>195.0,0.61,3,uGMRT,0,0,0,09:48.1,-23:22:53.343,Hallinan
1.44,>34800.0,0.34,3,VLITE/VLA,0,0,0,09:48.1,-23:22:53.343,Hallinan
2.43,>20.0,6.2,3,VLA,0,0,0,09:48.1,-23:22:53.343,Hallinan
2.43,>17.0,9.7,3,VLA,0,0,0,09:48.1,-23:22:53.343,Hallinan
2.43,>22.0,15,3,VLA,0,0,0,09:48.1,-23:22:53.343,Hallinan
2.44,>28000.0,0.34,3,VLITE/VLA,0,0,0,09:48.1,-23:22:53.343,Hallinan
2.78,>780.0,0.4,3,uGMRT,0,0,0,09:48.1,-23:22:53.343,Hallinan
2.93,>98.0,1.2,3,uGMRT,0,0,0,09:48.1,-23:22:53.343,Hallinan
3.34,>32.0,3,3,VLA,0,0,0,09:48.1,-23:22:53.343,Hallinan
3.34,>44700.0,0.34,3,VLITE/VLA,0,0,0,09:48.1,-23:22:53.343,Hallinan
3.67,>135.0,8.5,3,ATCA,0,0,0,09:48.1,-23:22:53.343,Hallinan
3.67,>99.0,10.5,3,ATCA,0,0,0,09:48.1,-23:22:53.343,Hallinan
8.37,>37500.0,0.34,3,VLITE/VLA,0,0,0,09:48.1,-23:22:53.343,Hallinan
10.6,>54.0,8.5,3,ATCA,0,0,0,09:48.1,-23:22:53.343,Hallinan
10.6,>39.0,10.5,3,ATCA,0,0,0,09:48.1,-23:22:53.343,Hallinan
11.9,>123.0,0.7,3,uGMRT,0,0,0,09:48.1,-23:22:53.343,Hallinan
13.5,>20400.0,0.34,3,VLITE/VLA,0,0,0,09:48.1,-23:22:53.343,Hallinan
13.5,>17.0,6.2,3,VLA,0,0,0,09:48.1,-23:22:53.343,Hallinan
13.9,>600.0,0.4,3,uGMRT,0,0,0,09:48.1,-23:22:53.343,Hallinan
15.4,>13.0,6.2,3,VLA,0,0,0,09:48.1,-23:22:53.343,Hallinan
15.4,>11400.0,0.34,3,VLITE/VLA,0,0,0,09:48.1,-23:22:53.343,Hallinan
16.4,>11700.0,0.34,3,VLITE/VLA,0,0,0,09:48.1,-23:22:53.343,Hallinan
16.4,1.870e+01+-6.300e+00,3,0,VLA,0,0,0,09:48.1,-23:22:53.343,Hallinan
16.5,>15.0,6.2,3,VLA,0,0,0,09:48.1,-23:22:53.343,Hallinan
17.4,1.510e+01+-3.900e+00,3,0,VLA,0,0,0,09:48.1,-23:22:53.343,Hallinan
17.4,>6900.0,0.34,3,VLITE/VLA,0,0,0,09:48.1,-23:22:53.343,Hallinan
18.3,1.450e+01+-3.700e+00,3,0,VLA,0,0,0,09:48.1,-23:22:53.343,Hallinan
18.7,1.540e+01+-4.800e+00,7.25,0,ATCA,0,0,0,09:48.1,-23:22:53.343,Hallinan
19,>140.0,0.7,3,uGMRT,0,0,0,09:48.1,-23:22:53.343,Hallinan
19.4,1.590e+01+-5.500e+00,6.2,0,VLA,0,0,0,09:48.1,-23:22:53.343,Hallinan
21.4,>8100.0,0.34,3,VLITE/VLA,0,0,0,09:48.1,-23:22:53.343,Hallinan
21.4,1.360e+01+-2.900e+00,6.2,0,VLA,0,0,0,09:48.1,-23:22:53.343,Hallinan
22.4,2.250e+01+-3.400e+00,3,0,VLA,0,0,0,09:48.1,-23:22:53.343,Hallinan
22.4,>6300.0,0.34,3,VLITE/VLA,0,0,0,09:48.1,-23:22:53.343,Hallinan
23.4,>4800.0,0.34,3,VLITE/VLA,0,0,0,09:48.1,-23:22:53.343,Hallinan
23.4,2.260e+01+-3.400e+00,6,0,VLA,0,0,0,09:48.1,-23:22:53.343,Hallinan
24.2,2.560e+01+-2.900e+00,3,0,VLA,0,0,0,09:48.1,-23:22:53.343,Hallinan
24.3,>6600.0,0.34,3,VLITE/VLA,0,0,0,09:48.1,-23:22:53.343,Hallinan
29.7,>246.0,0.68,3,uGMRT,0,0,0,09:48.1,-23:22:53.343,Mooley
31.3,3.400e+01+-3.600e+00,3,0,VLA,0,0,0,09:48.1,-23:22:53.343,Mooley
35.3,4.400e+01+-1.000e+01,1.5,0,VLA,0,0,0,09:48.1,-23:22:53.343,Mooley
36.9,>40.0,1.6,3,VLA,0,0,0,09:48.1,-23:22:53.343,Mooley
46.3,4.400e+01+-4.000e+00,3,0,VLA,0,0,0,09:48.1,-23:22:53.343,Mooley
51.5,>60.0,3.2,3,VLA,0,0,0,09:48.1,-23:22:53.343,Mooley
53.3,3.200e+01+-4.000e+00,6,0,VLA,0,0,0,09:48.1,-23:22:53.343,Mooley
54.3,4.800e+01+-6.000e+00,3,0,VLA,0,0,0,09:48.1,-23:22:53.343,Mooley
57.2,6.100e+01+-9.000e+00,3,0,VLA,0,0,0,09:48.1,-23:22:53.343,Mooley
65.9,1.480e+02+-2.200e+01,0.67,0,uGMRT,0,0,0,09:48.1,-23:22:53.343,Mooley
67.2,4.260e+01+-4.100e+00,6,0,VLA,0,0,0,09:48.1,-23:22:53.343,Mooley
72.2,5.800e+01+-5.000e+00,4.5,0,VLA,0,0,0,09:48.1,-23:22:53.343,Mooley
75.5,3.590e+01+-4.300e+00,7.35,0,ATCA,0,0,0,09:48.1,-23:22:53.343,Mooley
75.5,3.960e+01+-7.000e+00,7.35,0,ATCA,0,0,0,09:48.1,-23:22:53.343,Mooley
79.2,4.500e+01+-7.000e+00,4.5,0,VLA,0,0,0,09:48.1,-23:22:53.343,Mooley
92.4,3.170e+01+-4.300e+00,7.25,0,ATCA,0,0,0,09:48.1,-23:22:53.343,Dobie
93.1,9.800e+01+-1.400e+01,1.5,0,VLA,0,0,0,09:48.1,-23:22:53.343,Mooley
93.1,7.000e+01+-5.700e+00,3,0,VLA,0,0,0,09:48.1,-23:22:53.343,Mooley
93.2,2.600e+01+-4.400e+00,15,0,VLA,0,0,0,09:48.1,-23:22:53.343,Mooley
107,5.320e+01+-4.500e+00,1.3,0,ATCA,0,0,0,09:48.1,-23:22:53.343,Mooley
125,5.820e+01+-5.000e+00,7.25,0,ATCA,0,0,0,09:48.1,-23:22:53.343,Dobie
149,6.060e+01+-4.300e+00,7.25,0,ATCA,0,0,0,09:48.1,-23:22:53.343,Dobie
167,5.790e+01+-6.900e+00,7.25,0,ATCA,0,0,0,09:48.1,-23:22:53.343,Dobie
183,2.110e+02+-3.400e+01,0.65,0,uGMRT,0,0,0,09:48.1,-23:22:53.343,Mooley
197,1.070e+02+-1.700e+01,1.3,0,MeerKAT,0,0,0,09:48.1,-23:22:53.343,Mooley
197,7.590e+01+-5.200e+00,3,0,VLA,0,0,0,09:48.1,-23:22:53.343,Dobie
216,3.630e+01+-3.600e+00,10,0,VLA,0,0,0,09:48.1,-23:22:53.343,Mooley
218,6.470e+01+-2.700e+00,3,0,VLA,0,0,0,09:48.1,-23:22:53.343,Mooley
222,3.970e+01+-7.200e+00,7.25,0,ATCA,0,0,0,09:48.1,-23:22:53.343,Mooley
229,4.800e+01+-6.000e+00,4.5,0,VLA,0,0,0,09:48.1,-23:22:53.343,Mooley
