days,microJy,GHz,upperlimit,Instrument,time_flag,RA_Dec_flag,name_flag,RA,Dec,user
17.5,>15.0,6.2,3,VLA,0,0,0,09:48.1,-23:22:53.343,Makhatini
19.5,>14.0,10,3,VLA,0,0,0,09:48.1,-23:22:53.343,Makhatini
39.4,>18.0,15,3,VLA,0,0,0,09:48.1,-23:22:53.343,Makhatini
80.1,4.170e+01+-4.700e+00,6,0,VLA,0,0,0,09:48.1,-23:22:53.343,Makhatini
150,9.000e+01+-3.000e+01,5.1,0,eMERLIN,0,0,0,09:48.1,-23:22:53.343,Makhatini
155,1.510e+02+-2.300e+01,1.3,0,MeerKAT,0,0,0,09:48.1,-23:22:53.343,Makhatini
187,>83.0,5.1,3,eMERLIN,0,0,0,09:48.1,-23:22:53.343,Makhatini
198,>90.0,5.1,3,eMERLIN,0,0,0,09:48.1,-23:22:53.343,Makhatini
252,7.400e+01+-9.000e+00,1.3,0,MeerKAT,0,0,0,09:48.1,-23:22:53.343,Makhatini
261,6.600e+01+-1.000e+01,1.3,0,MeerKAT,0,0,0,09:48.1,-23:22:53.343,Makhatini
324,4.720e+01+-1.280e+01,1.3,0,MeerKAT,0,0,0,09:48.1,-23:22:53.343,Makhatini
380,3.790e+01+-1.110e+01,1.3,0,MeerKAT,0,0,0,09:48.1,-23:22:53.343,Makhatini
489,1.480e+01+-2.900e+00,3,0,VLA,0,0,0,09:48.1,-23:22:53.343,Makhatini
496,>22.0,1.3,3,MeerKAT,0,0,0,09:48.1,-23:22:53.343,Makhatini
767,4.900e+00+-1.800e+00,3,0,VLA,0,0,0,09:48.1,-23:22:53.343,Makhatini
