[2025-05-28 09:59:44,431 INFO server]: Logging to /u/parthpatel7173/MMA_RadioWave/FederatedFitting/examples/output/pf_2site_distributed_Server_2025-05-28-09:59:44.txt
[2025-05-28 09:59:44,503 INFO server]: Running sum of log likelihood approach
[2025-05-28 09:59:45,296 INFO server]: [Server] Published ServerStarted event with config.
[2025-05-28 09:59:45,296 INFO server]: [Server] Waiting for 2 SiteReady msgs…
[2025-05-28 09:59:49,913 INFO server]: [Server] Site 0 ready -> has_data=True, n_data_points=42, day_threshold=all 
[2025-05-28 09:59:49,914 INFO server]: [Server] Site 1 ready -> has_data=True, n_data_points=37, day_threshold=all 
[2025-05-28 09:59:49,914 INFO server]: Running global MCMC
[2025-05-28 09:59:50,013 INFO server]: [Server] Started Background poller/event listener
[2025-05-28 09:59:50,074 INFO server]: [Server] Computing global log prob. Iteration no: 0, walker=0
[2025-05-28 09:59:50,095 INFO server]: [Server] Published ProposedTheta event. Iteration no: 0, walker=0
[2025-05-28 09:59:50,316 INFO server]: [Server] Collected all likelihoods for (iter=0,walker=0)
[2025-05-28 09:59:50,316 INFO server]: [Server] Computing global log prob. Iteration no: 0, walker=1
[2025-05-28 09:59:50,338 INFO server]: [Server] Published ProposedTheta event. Iteration no: 0, walker=1
[2025-05-28 09:59:50,439 INFO server]: [Server] Collected all likelihoods for (iter=0,walker=1)
[2025-05-28 09:59:50,439 INFO server]: [Server] Computing global log prob. Iteration no: 0, walker=2
[2025-05-28 09:59:50,459 INFO server]: [Server] Published ProposedTheta event. Iteration no: 0, walker=2
[2025-05-28 09:59:50,681 INFO server]: [Server] Collected all likelihoods for (iter=0,walker=2)
[2025-05-28 09:59:50,681 INFO server]: [Server] Computing global log prob. Iteration no: 0, walker=3
[2025-05-28 09:59:50,701 INFO server]: [Server] Published ProposedTheta event. Iteration no: 0, walker=3
[2025-05-28 09:59:51,547 INFO server]: [Server] Collected all likelihoods for (iter=0,walker=3)
[2025-05-28 09:59:51,547 INFO server]: [Server] Computing global log prob. Iteration no: 0, walker=4
[2025-05-28 09:59:51,569 INFO server]: [Server] Published ProposedTheta event. Iteration no: 0, walker=4
[2025-05-28 09:59:51,740 INFO server]: [Server] Collected all likelihoods for (iter=0,walker=4)
[2025-05-28 09:59:51,740 INFO server]: [Server] Computing global log prob. Iteration no: 0, walker=5
[2025-05-28 09:59:51,761 INFO server]: [Server] Published ProposedTheta event. Iteration no: 0, walker=5
[2025-05-28 09:59:52,003 INFO server]: [Server] Collected all likelihoods for (iter=0,walker=5)
[2025-05-28 09:59:52,003 INFO server]: [Server] Computing global log prob. Iteration no: 0, walker=6
[2025-05-28 09:59:52,024 INFO server]: [Server] Published ProposedTheta event. Iteration no: 0, walker=6
[2025-05-28 09:59:52,517 INFO server]: [Server] Collected all likelihoods for (iter=0,walker=6)
[2025-05-28 09:59:52,518 INFO server]: [Server] Computing global log prob. Iteration no: 0, walker=7
[2025-05-28 09:59:52,539 INFO server]: [Server] Published ProposedTheta event. Iteration no: 0, walker=7
[2025-05-28 09:59:52,774 INFO server]: [Server] Collected all likelihoods for (iter=0,walker=7)
[2025-05-28 09:59:52,774 INFO server]: [Server] Computing global log prob. Iteration no: 0, walker=8
[2025-05-28 09:59:52,795 INFO server]: [Server] Published ProposedTheta event. Iteration no: 0, walker=8
[2025-05-28 09:59:52,886 INFO server]: [Server] Collected all likelihoods for (iter=0,walker=8)
[2025-05-28 09:59:52,886 INFO server]: [Server] Computing global log prob. Iteration no: 0, walker=9
[2025-05-28 09:59:52,907 INFO server]: [Server] Published ProposedTheta event. Iteration no: 0, walker=9
[2025-05-28 09:59:53,772 INFO server]: [Server] Collected all likelihoods for (iter=0,walker=9)
[2025-05-28 09:59:53,772 INFO server]: [Server] Computing global log prob. Iteration no: 0, walker=10
[2025-05-28 09:59:53,793 INFO server]: [Server] Published ProposedTheta event. Iteration no: 0, walker=10
[2025-05-28 09:59:53,904 INFO server]: [Server] Collected all likelihoods for (iter=0,walker=10)
[2025-05-28 09:59:53,904 INFO server]: [Server] Computing global log prob. Iteration no: 0, walker=11
[2025-05-28 09:59:53,925 INFO server]: [Server] Published ProposedTheta event. Iteration no: 0, walker=11
[2025-05-28 09:59:54,045 INFO server]: [Server] Collected all likelihoods for (iter=0,walker=11)
[2025-05-28 09:59:54,046 INFO server]: [Server] Computing global log prob. Iteration no: 0, walker=12
[2025-05-28 09:59:54,066 INFO server]: [Server] Published ProposedTheta event. Iteration no: 0, walker=12
[2025-05-28 09:59:54,368 INFO server]: [Server] Collected all likelihoods for (iter=0,walker=12)
[2025-05-28 09:59:54,368 INFO server]: [Server] Computing global log prob. Iteration no: 0, walker=13
[2025-05-28 09:59:54,390 INFO server]: [Server] Published ProposedTheta event. Iteration no: 0, walker=13
